,uri,track,artist,mood,Calm,Energetic,Happy,Sad
74,4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),Ariana Gra,Sad,0.15002353,0.12677893,0.3173019,0.40589565
75,50x1Ic8CaXkYNvjmxe3WXy,Those Eyes,New West,Sad,0.24486813,0.013786193,0.0171249,0.7242207
76,7rdnB5DAyPbaj51TCQRcqW,It's You,Sezairi,Sad,0.22612883,0.053600118,0.030290104,0.68998086
77,3N2WeXxSjngB1DSi8vrI8C,Muak,Aruma,Sad,0.21040168,0.0110369045,0.019365255,0.7591962
78,1USA6DXJ1qsucoKnDu4vnu,Tak Kan Hilang,Budi Dorem,Sad,0.22554094,0.004538966,0.013947852,0.7559722
79,0mMqopQJOWADJSPRMYkvTF,Dunia Tipu-Tipu,Yura Yunit,Sad,0.3321233,0.0070621967,0.052662347,0.60815215
80,5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),The Kid LA,Energetic,0.035088763,0.49950418,0.38135207,0.08405495
81,1JxoK0EU5SHupbXjSwYaN7,Cinta Luar Biasa,Andmesh,Sad,0.2687951,0.004203307,0.01243753,0.7145639
82,43kiDtoYD0nDJYxzQwclpT,Location Unknown ◐ (feat. BEKA) - Brooklyn Session,HONNE,Sad,0.3013739,0.004346215,0.017880004,0.6763999
83,68HocO7fx9z0MgDU0ZPHro,Every Summertime,NIKI,Happy,0.11094455,0.116449796,0.6707376,0.10186807
84,6YTmsdqH5LZzCGIY0lqloD,happy,Skinnyfabs,Calm,0.39530712,0.03609629,0.31936803,0.24922864
85,1dQQ2QlnvXUehsRUrukKmf,Right Now,One Direct,Energetic,0.080561765,0.47989383,0.28950876,0.15003559
86,0mOLyv1GL4sIuzVR1I92Fb,Adu Rayu,Yovie Widi,Sad,0.32499525,0.024628535,0.029530434,0.62084585
87,3O9OibrJm0vSYxZjz3Pooe,Remaja,Hivi!,Sad,0.32320258,0.02344364,0.19353002,0.45982382
88,3afkJSKX0EAMsJXTZnDXXJ,Strawberries & Cigarettes,Troye Siva,Energetic,0.20562805,0.3816638,0.18084963,0.2318585
89,6VggIDYOnf9C8fJVcMpxAu,Kangen,Dewa,Happy,0.016453836,0.13203022,0.83280957,0.018706273
90,3znQ9i61vfe2E7URHlOiyc,I Love You 3000,Stephanie ,Sad,0.3421301,0.005408146,0.021364516,0.63109714
91,4Ssi6tKwrTHi5qvDndrZRP,Wish You Were Here,Neck Deep,Sad,0.1639167,0.08821985,0.26467478,0.48318863
92,5AkV53fo1u01mi8r22JNeF,I Just Couldn't Save You Tonight - Story of Kale - Original Motion Picture Soundtrack,Ardhito Pr,Sad,0.2373054,0.009500436,0.012940286,0.740254
93,0BYoWATcndOBcsCfKdTKRx,Akhir Tak Bahagia,Misellia,Sad,0.24448282,0.0028754259,0.010308498,0.74233323
94,1AoBdDIOp6RFjAbzcPbWi8,Janji Setia,Tiara Andi,Sad,0.19842525,0.017322661,0.027887776,0.7563643
95,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Mon,Happy,0.18906195,0.1763277,0.45223892,0.1823714
96,1gH1h30wkQdd9zhY3j7a8T,THE SHADE,Rex Orange,Happy,0.28671706,0.06984376,0.4652154,0.17822373
97,0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mend,Happy,0.06269541,0.14512268,0.7456196,0.04656222
98,2BgEsaKNfHUdlh97KmvFyo,2002,Anne-Marie,Happy,0.058982845,0.3584604,0.5385772,0.043979593
99,0ri0Han4IRJhzvERHOZTMr,At My Worst,Pink Sweat,Calm,0.44735137,0.014516849,0.13447537,0.40365636
100,6Aw5k0jkFceYayaJoRupLT,Pura Pura Lupa,Mahen,Sad,0.22269095,0.018284714,0.013491903,0.7455323
101,1SWBzZg6n9JZq7bnXxPPai,Semata Karenamu,Mario G kl,Sad,0.3163452,0.06177893,0.080191135,0.54168475
102,3nHxZEe1dT7zs73DG6pNll,Usai,Tiara Andi,Sad,0.20297413,0.008827007,0.009013865,0.779185
103,7BhRGeqNpBw1QilknM0svo,Pilihan Yang Terbaik,Ziva Magno,Sad,0.21554741,0.0047980677,0.008230259,0.77142423
104,5xwBIieMMFUmLDgvG4DjFe,Fall In Love Alone,Stacey Rya,Happy,0.1454962,0.22003567,0.32813877,0.30632934
105,0ClPIeT6MSgfSgQ9ZrJbAq,Cheating on You,Charlie Pu,Happy,0.08814036,0.24085528,0.5897137,0.081290804
106,5X5Vj8FcxyoLzq9qxAa45U,Tolong,Budi Dorem,Sad,0.2179571,0.0036119393,0.010705774,0.7677253
107,7mZxM64cMYQdx2vopaGrDf,"Andaikan Kau Datang - From ""Miracle in Cell No. 7""",Andmesh,Sad,0.31197304,0.0037040645,0.017194029,0.66712886
108,3W4U7TEgILGpq0EmquurtH,Old Love,yuji,Sad,0.21630129,0.012687361,0.03203886,0.7389725
109,0ZEYRVISCaqz5yamWZWzaA,Melukis Senja,Budi Dorem,Sad,0.35425207,0.02351938,0.05489426,0.56733423
110,0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,Sad,0.19762386,0.3082437,0.1267658,0.36736658
111,4a9tbd947vo9K8Vti9JwcI,Boy With Luv (feat. Halsey),BTS,Happy,0.02066009,0.20707364,0.754225,0.018041218
112,2gMXnyrvIjhVBUZwvLZDMP,Before You Go,Lewis Capa,Sad,0.18950225,0.098378316,0.04871312,0.6634063
113,3B4VP6swG49n3scg2aMfA6,Pamit,Tulus,Sad,0.26047468,0.0076438375,0.025207518,0.70667386
114,19JvKc2f3ZNblfBSDMDwUF,Celengan Rindu,Fiersa Bes,Happy,0.09244555,0.1633368,0.6524494,0.091768086
115,0ZoBl7pWhdjnj4eIe9I11o,Maafkan Aku #terlanjurmencinta,Tiara Andi,Sad,0.16976103,0.016282793,0.010870116,0.803086
116,18uwL0vNUanqZH0ro2QcOP,comethru,Jeremy Zuc,Calm,0.5414384,0.0054434314,0.059262965,0.39385536
117,0EcQcdcbQeVJn9fknj44Be,I Like Me Better,Lauv,Calm,0.5621469,0.095091455,0.08158116,0.26118037
118,5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,BTS,Happy,0.03191905,0.25118992,0.69398576,0.022905178
119,5wANPM4fQCJwkGd4rN57mH,drivers license,Olivia Rod,Sad,0.20047641,0.01586469,0.009644493,0.7740144
120,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Anim,Calm,0.3712907,0.11019006,0.26951197,0.24900723
121,1ixNEKbIZTTZ5LIz3rr9jD,Cintamu Sepahit Topi Miring,Jogja Hip ,Energetic,0.07790939,0.5848049,0.2682667,0.06901907
122,0MAIxtXWimwhAAQOST9jp7,Sesuatu Di Jogja,Adhitia So,Sad,0.3330502,0.0072087003,0.020631673,0.63910943
123,2RHm5IDIZ8fYRGzBIo7exV,Tampar,Juicy Luic,Sad,0.1781348,0.017985575,0.054036647,0.74984294
124,65PjFLm6X567f52At4CI1N,Benci Untuk Mencinta,Naif,Sad,0.32392532,0.011425599,0.014660508,0.6499887
125,5sgRYOTpFZRROlndD460KI,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan",Fiersa Bes,Energetic,0.045960564,0.65690213,0.17674269,0.12039454
126,4reIsHKw5hUj4pV8zzMjLA,I Still Love You,TheOvertun,Sad,0.23881136,0.0036666407,0.009116999,0.748405
127,3r8RuvgbX9s7ammBn07D3W,Ditto,NewJeans,Energetic,0.10625564,0.6628883,0.10591596,0.12494015
128,0OgwkVbQ4jVfsZJO4Xs9hC,Aku Yang Salah,Mahalini,Sad,0.21586631,0.020413088,0.015167527,0.7485531
129,1daDRI9ahBonbWD8YcxOIB,Angels Like You,Miley Cyru,Happy,0.07490909,0.36713815,0.44820875,0.10974402
130,1SKPmfSYaPsETbRHaiA18G,Somewhere Only We Know,Keane,Energetic,0.041497566,0.54488605,0.22517529,0.18844098
131,3IesVVqYxCsRCsz5OCmC7q,April,Fiersa Bes,Sad,0.26608768,0.04696393,0.24690759,0.44004068
132,2QfznFotJNZmnIEYFdzE5T,Heartbreak Anniversary,Giveon,Sad,0.29477912,0.040864166,0.20525688,0.45909983
133,2QB8FwOszur18Ai7t2XnNi,Anything You Want,Reality Cl,Energetic,0.044941355,0.4192224,0.25603607,0.27980015
134,2wLpTF8xnsSHDpFGeV43DT,Hanya Rindu,Andmesh,Sad,0.122577764,0.0033717812,0.009313495,0.864737
135,1Dxb9nWV16f5PthsUsV1XZ,Bicara (feat. Monita Tahalea),TheOvertun,Sad,0.3645169,0.036549773,0.088905916,0.5100274
136,1qHddOZ7pwtmOsw0RmlKFx,Takut,Idgitaf,Sad,0.299787,0.003946223,0.009568977,0.6866977
137,5cASSQjKWI5ox8LykUtJGL,Peri Cintaku,Ziva Magno,Sad,0.1893137,0.0139821125,0.009710268,0.786994
138,5S8TtEVuFPY9XEjg2hNWHa,Terlukis Indah,Rizky Febi,Happy,0.12783657,0.2241262,0.44405186,0.20398532
139,6HU7h9RYOaPRFeh0R3UeAr,deja vu,Olivia Rod,Sad,0.13695295,0.078213744,0.027738197,0.757095
140,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,Sad,0.31710634,0.02852346,0.025818402,0.6285517
141,0mBP9X2gPCuapvpZ7TGDk3,Left and Right (Feat. Jung Kook of BTS),Charlie Pu,Happy,0.31371948,0.0499542,0.38102022,0.255306
142,0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Stephen Sa,Sad,0.23197417,0.03364913,0.03177896,0.7025978
143,6bE0o9hYUPYlokZIH79oM0,Hampa,Ari Lasso,Sad,0.19705907,0.22026281,0.2610497,0.32162848
144,65FftemJ1DbbZ45DUfHJXE,OMG,NewJeans,Happy,0.08987293,0.15799466,0.66052157,0.09161092
145,0T4t1PywlNmJGcveGH5spB,Takkan Terganti,Marcell,Sad,0.19327973,0.015678743,0.015796846,0.7752447
146,4n7jnSxVLd8QioibtTDBDq,On My Way,Alan Walke,Energetic,0.049593966,0.6222742,0.18092756,0.14720422
147,6MczIMSdoZyw8EBPhihazN,Jangan Rubah Takdirku,Andmesh,Sad,0.1694145,0.012848757,0.011459768,0.8062769
148,74OLXYsvpfmSgPCMMi898K,bitterlove,Ardhito Pr,Sad,0.23848535,0.08866807,0.31465524,0.35819128
149,3JjnGLK8IxkNLvo8Lb3KOM,18,One Direct,Sad,0.17915574,0.33650902,0.14038557,0.34394968
150,161DnLWsx1i3u1JT05lzqU,Talking to the Moon,Bruno Mars,Sad,0.12984781,0.13254493,0.03326318,0.70434403
151,1w3azB0VuRFp79AduIwrIy,P.S. I LOVE YOU,Paul Parto,Sad,0.2332757,0.19280466,0.079021245,0.49489844
152,6HGcSuP89aoRvqLIAjcT8B,Now I Know,Kaleb J,Energetic,0.13104945,0.37222043,0.2610458,0.23568425
153,0pDmW5AOpl1Wi58Ob0xXB8,Labirin,Tulus,Sad,0.37935615,0.019703643,0.17667297,0.42426726
154,463XKKFCPlcrhtlwGbEovu,Fana Merah Jambu,Fourtwnty,Sad,0.28846806,0.06486582,0.28657478,0.36009133
155,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,FIFTY FIFT,Happy,0.22151622,0.065627694,0.49790764,0.2149484
156,6FZDfxM3a3UCqtzo5pxSLZ,Without Me,Halsey,Happy,0.2500913,0.1459046,0.3175568,0.28644732
157,5DqdesEfbRyOlSS3Tf6c29,It's You,Sezairi,Sad,0.31635752,0.11213309,0.18177176,0.38973764
158,7n5nvulc1oW1ErpeTrNezI,Mungkin Hari Ini Esok Atau Nanti,Anneth,Sad,0.20414677,0.011790852,0.010189667,0.77387273
159,4vh193RZbEEBanSG0719Wh,Lebih Dari Egoku,Mawar de J,Sad,0.37190413,0.018064355,0.03704813,0.57298326
160,69vToJ9BMbbLlFZo7k7A7B,You Are The Reason,Calum Scot,Sad,0.110981695,0.0038293651,0.008395277,0.8767937
161,1Fid2jjqsHViMX6xNH70hE,Atlantis,Seafret,Energetic,0.08750117,0.379314,0.15504307,0.37814173
162,3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),Ed Sheeran,Happy,0.03897262,0.119344935,0.81977135,0.021911155
163,3cKM7UXBZmgjEgEBTkaIlU,Strong,One Direct,Energetic,0.100944474,0.5124045,0.2660511,0.120599866
164,4JNdwEfqwFRiAeEISC8RU8,Die For You (with Ariana Grande) - Remix,The Weeknd,Happy,0.21191448,0.16781652,0.42362878,0.19664024
165,0z7jhodL97W88al5OI1zh1,Orang Yang Sama,Virgoun,Sad,0.20871642,0.045424815,0.12197164,0.623887
166,7As3vd7OvJwyGUsZfNtHce,Bagaimana Kalau Aku Tidak Baik Baik Saja,Judika,Sad,0.13574155,0.019602098,0.031032655,0.8136238
167,45FQZlkNDDHg4pzyjiLQkc,Bahaya,Tiara Andi,Sad,0.28791285,0.0076498864,0.029338833,0.67509854
168,42si4ikg5dh732gPuQ0xHb,C.H.R.I.S.Y.E.,Diskoria,Energetic,0.088689096,0.38656953,0.3817252,0.14301611
169,5QGdWvXwXMK2Zx6eKagyue,Sudah - Story of Kale - Original Motion Picture Soundtrack,Ardhito Pr,Sad,0.29705253,0.0030062392,0.0073578665,0.6925834
170,5TtmfZaNSYEcTR49cureT0,Kenangan Terindah,SAMSONS,Sad,0.22204132,0.17117256,0.16888092,0.43790516
171,1q1dsfckKMgjfr8DfdeKfs,Amin Paling Serius,Sal Priadi,Sad,0.174255,0.0036508152,0.009381248,0.8127129
172,5rbuv6zso7QSaKt265H3M3,High School in Jakarta,NIKI,Sad,0.39195028,0.053244077,0.14384936,0.4109562
173,4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eil,Sad,0.26636955,0.009246108,0.025456358,0.698928
174,0lks2Kt9veMOFEAPN0fsqN,Lily,Alan Walke,Happy,0.080013864,0.30935192,0.37635738,0.23427679
175,2bdVgAQgosGUJoViVDNeOV,LIMBO,keshi,Sad,0.22156279,0.0069184364,0.005521582,0.76599723
176,3rPtS4nfpy7PsARctAWpzd,Best Friend,Rex Orange,Sad,0.13719966,0.30229545,0.16892272,0.39158222
177,4yNk9iz9WVJikRFle3XEvn,golden hour,JVKE,Sad,0.35788447,0.07517707,0.0317609,0.5351774
178,76OGwb5RA9h4FxQPT33ekc,SNAP,Rosa Linn,Happy,0.0871701,0.28617737,0.42974466,0.19690786
179,04S1pkp1VaIqjg8zZqknR5,Enchanted,Taylor Swi,Energetic,0.08313958,0.5581581,0.20607631,0.152626
180,3Sbova9DAY3pc9GTAACT4b,keepyousafe,Yahya,Sad,0.32960618,0.013642249,0.016574938,0.6401767
181,7EyhPjrJzjx0fk2i7vUJCS,Pink Venom,BLACKPINK,Happy,0.055048864,0.24864767,0.66897196,0.027331641
182,7epRdWkt0hSeQd6AmZDqkY,Cuek,Rizky Febi,Sad,0.21569888,0.17297444,0.27884072,0.332486
183,0nXXgjpcisM0bheuDZHAub,Sewindu,Tulus,Sad,0.35970587,0.014587995,0.06342998,0.5622761
184,1sxUn0SdlFG05Q3qAA2FlE,Nyaman,Andmesh,Sad,0.3708273,0.0067925346,0.03784778,0.5845324
185,3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",Ariana Gra,Energetic,0.15691556,0.35894683,0.3039957,0.18014179
186,4pryE6cN2gFL1FVF5fYINl,Leave The Door Open,Bruno Mars,Happy,0.066856846,0.13949111,0.6933096,0.10034243
187,6tCd8bPvYnceDG7W9M1RMk,Shut Down,BLACKPINK,Happy,0.05931836,0.25444323,0.6444387,0.04179977
188,0SeBJ2sAl8CV58kBfpd5va,Kota,Dere,Sad,0.2557961,0.019555338,0.015952505,0.70869607
189,0O6g2QFUhuLqRzGqhyzrIu,Hitam Putih,Fourtwnty,Sad,0.23063567,0.009660189,0.00999279,0.74971133
190,5vPO5ouEv8iedKWxzmSv7b,Lose,NIKI,Sad,0.16760123,0.006966399,0.011218564,0.8142138
191,009ImBOrIUlWgla8U05RAC,Unconditionally,Katy Perry,Energetic,0.03380618,0.5853924,0.29037157,0.0904299
192,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),Powfu,Sad,0.34224623,0.012814037,0.018302627,0.626637
193,364dI1bYnvamSnBJ8JcNzN,Intentions,Justin Bie,Happy,0.13023037,0.07585201,0.68913585,0.10478184
194,0otRX6Z89qKkHkQ9OqJpKt,Car's Outside,James Arth,Energetic,0.061369844,0.46991372,0.21678713,0.2519294
195,0pVujrkHwuN9nAN9zGcEyy,Manusia Bodoh,Ada Band,Sad,0.13095361,0.21026716,0.10743965,0.5513396
196,0ROj512WvJ1eqeELd7MEdJ,Sampai Jadi Debu (Menampilkan Gardika Gigih),Banda Neir,Sad,0.41275895,0.0023908827,0.008354568,0.5764957
197,67L0rPX2z7n44XBYStoHDg,Tak Ingin Pisah Lagi,Marion Jol,Sad,0.29960865,0.07017275,0.10030961,0.5299091
198,3CYH422oy1cZNoo0GTG1TK,Psycho,Red Velvet,Energetic,0.08889442,0.42338553,0.29777718,0.18994287
199,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swi,Happy,0.09653336,0.30007333,0.50585324,0.097540125
200,3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,Energetic,0.043810192,0.54711366,0.21969797,0.18937811
201,5h51lTy1jYDDkYLALQrzX9,Risalah Hati,Pamungkas,Sad,0.32606784,0.02345542,0.048749268,0.6017275
202,22k5lgD5F7Pc7BodEMzDrY,Saat Kau Telah Mengerti,Virgoun,Sad,0.28587887,0.009551316,0.02038049,0.68418944
203,1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,Surfaces,Happy,0.16635947,0.138304,0.5990981,0.09623842
204,2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Tones And ,Calm,0.43356016,0.051398076,0.12762065,0.38742107
205,1iWHabUgUuuKLBa0TzTHfk,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,Sad,0.1138378,0.3812058,0.11828158,0.38667476
